code,food,Chakula,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
1,Biscuit ,Biskuti,122,256,334,632,258,159,198,452,274,387,366,198,434,9.2,0,0,11.8,71.5,2.1,6.5,1.8,0,2.7,0.4,180,119,105,27,128,1302,1.2,0,0.8,0.2,0.7,0,0,0,1,0,0.1,0.04,1.1,0.04,31,0,0.46
2,Bread roll,Mkate wa miviringo,102,248,338,616,205,158,192,436,250,382,320,191,274,8.8,0,0,3,51.9,0.6,1.2,0.7,0,2.8,0.1,30,120,105,27,113,609,7.8,0,0.9,0.19,0.51,0,0,0,0,0,0.6,0.24,2.8,0.04,31,0,0.39
3,"Bread, white",Mkate,102,248,338,616,205,158,192,436,250,382,320,191,274,8.8,0,0,3,51.9,0.6,1.2,0.7,0,2.8,0.1,30,10,105,27,113,609,0.5,0,0.9,0.19,0.51,0,0,0,0,0,0.11,0.08,0.9,0.04,31,0,0.39
6,Cake,Keki,58,169,209,365,217,107,92,236,169,237,212,109,320,4.7,2.2,0,12.3,48.6,3.5,5.3,2.9,50,0.6,28.2,68,38,68,9,75,182,0.4,0,0.4,0.04,0.16,34,34,0,1,0,0.04,0.12,0.3,0.03,10,0.22,0.32
7,Cookie,Biskuti,70,179,230,390,256,110,104,250,175,263,221,112,478,5.1,0,0,21.1,67.9,5.4,11.8,2.7,51,0.5,22,116,21,80,12,63,357,0.7,0,0.4,0.08,0.32,27,0,0,3,0,0.04,0.05,1,0.06,12,0.09,0.25
8,Donut,Mandazi,70,179,230,390,256,110,104,250,175,263,221,112,478,5.1,0,0,21.1,67.9,5.4,11.8,2.7,51,0.5,22,116,21,80,12,63,357,0.7,0,0.4,0.08,0.32,27,0,0,3,0,0.04,0.05,1,0.06,12,0.09,0.25
9,"Infant cereal, Cerelac",Cerelac (chakula cha mtoto),184,581,752,1288,873,344,193,705,597,904,763,359,387,14,8.5,0,1,78.1,0.5,0.1,0.4,0,2.8,0.4,288,315,338,58,482,130,0.5,0,1.9,0.12,0.87,3,3,0,0,3,0.15,0.4,1.2,0.22,18,0.95,1.77
10,"Maize, cracked, cooked",Mahindi ya kukobolewa yaliyopikwa,171,353,515,913,255,207,375,647,350,568,493,272,119,2.7,0,0,1.2,25.4,0.2,0.3,0.5,0,2.4,0.1,264,2,80,42,95,12,1.2,0,0.6,0.06,0.17,0,0,0,0,0,0.13,0.07,1.2,0.1,8,0,0.14
11,"Maize, dried, raw",Mahindi makavu,19,101,96,329,75,56,48,132,109,136,134,82,362,8.1,0,0,3.6,76.9,0.2,0.9,1.6,0,7.3,0.3,800,6,241,127,287,35,3.5,0,1.8,0.19,5,0,0,0,1,0,0.39,0.2,3.6,0.3,25,0,0.43
12,"Maize, flour, dry", Unga wa mahindi,57,305,291,996,228,170,146,399,330,411,405,248,362,8.1,0,0,3.6,76.9,0.5,0.9,1.6,0,7.3,0.3,800,6,241,127,287,35,3.5,0,1.8,0.19,0.5,0,0,0,1,0,0.39,0.2,3.6,0.3,25,0,0.43
13,"Maize, green, cooked", Mahindi ya kuchemsha,57,305,291,996,228,170,146,399,330,411,405,248,246,7.5,0,0,3,57.2,0.5,0.9,1.4,0,6.4,3.4,71,5,235,73,568,39,1.4,0,1.1,0.11,0.43,0,0,0,0,14,0.5,0.16,3.6,0.14,105,0,2.01
